USAF,WBAN,STATION_NAME,CTRY,CALL,LAT,LON,ELEV,BEGIN,END
722178,99999,ROBERT S KERR,US,KRKR,35.016999999999996,-94.617,1370.0,20040525.0,20051231.0
722275,53843,ANDALUSIA OPP,US,K79J,31.309,-86.39399999999999,945.0,20060103.0,20140217.0
722275,99999,ANDALUSIA OPP,US,K79J,31.309,-86.39399999999999,940.0,19730101.0,20051230.0
722469,53912,C DAVID CAMPBELL FLD,US,KCRS,32.031,-96.399,1359.0,20060101.0,20140217.0
722469,99999,C DAVID CAMPBELL FLD,US,KCRS,32.033,-96.4,1370.0,19990114.0,20051231.0
722654,23091,FT STOCKTON\PECOS,US,KFST,30.912,-102.917,9174.0,20060101.0,20140217.0
722925,93117,SAN CLEMENTE ISLAND,US,KNUC,33.023,-118.588,555.0,19430610.0,20140215.0
722925,99999,SAN CLEMENTE ISLAND,US,KNUC,33.016999999999996,-118.583,560.0,20000103.0,20031231.0
723148,63859,FOOTHILLS RGNL,US,KMRN,35.821,-81.611,3871.0,20060101.0,20140217.0
723148,99999,FOOTHILLS RGNL,US,KMRN,35.817,-81.617,3870.0,20010811.0,20051231.0
723535,13909,VANCE AFB,US,KEND,36.333,-97.917,3984.0,20060103.0,20140217.0
723535,99999,VANCE AFB,US,KEND,36.333,-97.917,3980.0,19420101.0,20051222.0
723930,93214,VANDENBERG AFB,US,KVBG,34.717,-120.56700000000001,1119.0,20060101.0,20140217.0
723930,99999,VANDENBERG AFB,US,KVBG,34.75,-120.56700000000001,1210.0,19510703.0,20051231.0
724220,93820,LEXINGTON/BLUE GRAS,US,KLEX,38.041,-84.60600000000001,3014.0,18930101.0,20140217.0
724490,13993,ST. JOSEPH/ROSE-CRA,US,KSTJ,39.774,-94.92299999999999,2493.0,19440301.0,20140217.0
724490,99999,ST. JOSEPH/ROSE-CRA,US,KSTJ,39.766999999999996,-94.917,2490.0,20000101.0,20031231.0
724833,23206,SACRAMENTO MATHER FL,US,KMHR,38.567,-121.3,293.0,20040101.0,20140217.0
724833,99999,SACRAMENTO MATHER FL,US,KMHR,38.555,-121.29700000000001,300.0,19880304.0,20031231.0
725105,14770,PENN VALLEY,US,KSEG,40.821,-76.86399999999999,1372.0,19990114.0,20140217.0
725105,99999,PENN VALLEY,US,KSEG,40.817,-76.867,1370.0,20000101.0,20031231.0
725327,4846,PORTER CO MUNI,US,KVPZ,41.453,-87.006,2347.0,20060101.0,20140217.0
725327,99999,PORTER CO MUNI,US,KVPZ,41.45,-87.0,2410.0,19990114.0,20051231.0
725479,4937,SCHENCK FLD,US,KICL,40.722,-95.02600000000001,3024.0,20060101.0,20140217.0
725479,99999,SCHENCK FLD,US,KICL,40.717,-95.03299999999999,3020.0,19950423.0,20051231.0
725785,24145,IDAHO FALLS RGNL,US,KIDA,43.516000000000005,-112.06700000000001,14460.0,19730101.0,20140217.0
726380,94814,HOUGHTON LAKE/ROSCO,US,KHTL,44.358999999999995,-84.67399999999999,3536.0,19730101.0,20140217.0
726545,94950,MITCHELL MUNI,US,KMHE,43.773999999999994,-98.038,3972.0,20060101.0,20140217.0
726545,99999,MITCHELL MUNI,US,KMHE,43.775,-98.039,3970.0,19730101.0,20051231.0
726818,94194,REXBURG MADISON CO,US,KRXE,43.833999999999996,-111.804,14807.0,19990114.0,20140217.0
727506,4952,WINDOM MUNI,US,KMWM,43.913000000000004,-95.109,4298.0,20060101.0,20140217.0
727506,99999,WINDOM MUNI,US,KMWM,43.917,-95.117,4300.0,19990114.0,20051231.0
727985,94276,FRIDAY HARBOR,US,KFHR,48.522,-123.023,332.0,20060101.0,20140217.0
727985,99999,FRIDAY HARBOR,US,KFHR,48.522,-123.024,340.0,19881014.0,20051231.0
746935,3709,ASHEBORO RGNL,US,KHBI,35.654,-79.895,2051.0,20060101.0,20140217.0
746935,99999,ASHEBORO RGNL,US,KHBI,35.65,-79.9,2050.0,20010811.0,20051231.0
766753,99999,LICENCIADO ADOLFO L,MX,MMTO,19.333,-99.56700000000001,25800.0,19870320.0,20140206.0
787330,99999,RIVAS,NK,MNRS,11.417,-85.833,700.0,19750618.0,20140205.0
804100,99999,BARQUISIMETO,VN,SVBM,10.067,-69.317,6140.0,19500106.0,20140206.0
825910,99999,MOCORO/17 ROSADO,BZ,SBMS,-5.2,-37.367,230.0,19730101.0,20140205.0
837790,99999,MARTE,BZ,SBMT,-23.5,-46.633,7220.0,19730101.0,20140206.0
845340,99999,TINGO MARIA,PR,SPGM,-9.283,-76.0,6650.0,19490222.0,20140205.0
858640,99999,COYHAIQUE,CH,SCCY,-45.583,-72.1,3430.0,19630101.0,20140206.0
873280,99999,VILLA DOLORES AERO,AG,SAOD,-31.95,-65.132,5840.0,19730101.0,20140205.0
911620,22501,BARKING SANDS /BONH,US,PHBK,22.033,-159.783,37.0,19420422.0,20140217.0
916830,99999,NAUSORI,FJ,NFNA,-18.05,178.567,70.0,19730101.0,20140206.0
942870,99999,CAIRNS AERO,AU,YBCS,-16.883,145.75,30.0,19421231.0,20140206.0
962950,99999,TANJUNG KARANG/RADI,ID,WIIT,-5.1,105.18299999999999,960.0,19730101.0,20140206.0
972700,99999,BIMA/M.SALAHUDDIN,ID,WRRB,-8.55,118.7,20.0,19820101.0,20140206.0
985530,99999,BORONGAN,PH,RPVW,11.667,125.45,30.0,19590101.0,20140205.0
994014,99999,SEATTLE,US,EBSW1,47.6,-122.333,20.0,20050419.0,20140206.0
994710,99999,BAFFIN BAY,US,BABT2,27.3,-97.417,40.0,20040608.0,20140206.0
996470,99999,ENVIRONM BUOY 46054,US,DB647,34.266999999999996,-120.45,0.0,19910722.0,20140206.0
997260,99999,HARBOR BEACH,US,HRBM4,43.85,-82.633,1880.0,20041122.0,20140206.0
997369,99999,PORT ISABEL,US,PTIT2,26.05,-97.21700000000001,100.0,20050405.0,20140206.0
997813,99999,SW BERING SEA,US,46070,55.003,175.28599999999997,30.0,20070401.0,20140206.0
998212,99999,CAMPBELL PARK,US,CAMF1,27.767,-82.65,150.0,20080915.0,20140205.0
998429,99999,NOKOLSKI,US,OLSA2,52.941,-168.87099999999998,50.0,20100821.0,20140206.0
